"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"原始野性","XGE","戏法","动作","即效","变化","自身","姿势","德鲁伊","你引导原始魔法以使你的牙齿和指甲变得尖锐，准备好展开一次侵蚀性的攻击。对距离你5尺内的一个生物进行一次近战法术攻击。若命中，目标受到1d10强酸伤害。在你进行此攻击后，你的牙齿和指甲将变回原样。此法术的伤害将在你的等级升至5级时增加至2d10，11级时3d10，17级时4d10。",""
"援助术","PHB","2环","动作","8 小时","防护","30 尺","声音、姿势、材料 (一小条白布)","奇械师、奇械师、奇械师 (Revisited)、牧师、圣武士","你的法术增强了你队友的坚强和决意。选择射程内最多三个生物。在法术持续期间，每个目标的最大和当前生命值都各增加5点。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，目标的生命值就可以额外再增加5点。"
"月华之光","PHB","2环","动作","专注，至多 1 分钟","塑能","120 尺","声音、姿势、材料 (数粒月籽藤的种子和一块乳白色长石)","德鲁伊","一道闪烁着苍白光芒的银光在以射程内一点为中心的5尺半径、40尺高的圆柱空间内照下。直到法术结束前，微光光照充满该圆柱。当一个生物在此法术区域中开始它的回合、或在一个回合中第一次进入该区域，则它将被幽灵般的火舌吞没并造成烧灼般的剧痛，且它必须进行一次体质豁免。若豁免失败，则它将受到2d10光耀伤害，豁免成功则只受到一半的伤害。变形者(shapechanger)在进行此豁免检定时具有劣势。若它豁免失败，则它将立刻变回它原本的型态、且直到离开此法术的光照前都无法变换成不同的形态。在你施放此法术之后的每个你的回合，你可以使用一个动作以移动这束光朝任意方向移动最多60尺。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d10。"
"云雾术","PHB","1环","动作","专注，至多 1 小时","咒法","120 尺","声音、姿势","德鲁伊、游侠、术士、法师","你以射程内一点为中心创造出一个20尺半径的雾气球体。这片雾球会绕过转角，且它笼罩的范围为重度遮蔽。它在法术持续时间内维持存在、或直到一阵有着中等或更强速度的风（至少时速10里）将它吹散。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，雾气的半径就再增加20尺。"
"灾厄之刃","TCE","9环","附赠动作","专注，至多 1 分钟","咒法","60 尺","声音、姿势","","你在法术范围内你能看见的一个未被占据的创造出一把形态如同剑一般的，长约3尺的位面裂缝。该剑刃持续存在，直至法术结束。当你施展此法术时，你可以用该剑刃进行至多两次近战法术攻击，每次攻击的目标为位于剑刃5尺内的一个生物、未被携带的物件或建筑。若命中，则目标受到4d12力场伤害。该攻击在d20投出18或更高时造成重击，并在重击时造成额外8d12力场伤害（共计12d12力场伤害）你可以在自己回合内以一个附赠动作让该武器移动至多30尺到一个你可以看见的未被占据的空间，随后再用其进行两次近战法术攻击。该剑刃可以无害地通过任何屏障，包括一道力场墙。",""
"灾祸术","PHB","1环","动作","专注，至多 1 分钟","惑控","30 尺","声音、姿势、材料 (一滴血)","吟游诗人、牧师","最多三个你所选择的射程内你所能看见的生物，必须进行一次魅力豁免。在此法术结束前，每当于该豁免检定中失败的目标要进行一次攻击检定或豁免检定，目标必须掷一颗d4，并将骰出来的数字减掉该攻击检定或豁免检定的结果。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外选择一个生物作为目标。"
"再生术","PHB","7环","1 分钟","1 小时","变化","触碰","声音、姿势、材料 (一个转经轮和圣水)","吟游诗人、牧师、德鲁伊","你触碰一个生物并促进它的自然回复能力。目标回复4d8 + 15点生命值。在法术持续期间，目标将在它的每个回合开始时回复1点生命值（每分钟回复10点生命值）。若目标有任何残缺的身体部位（手指、腿、尾巴、诸如此类），则这些身体部位将在2分钟后回复。若你持有这些被断开的肢体并将之按在断口上，则此法术将瞬间使该肢体与断口接合。",""
"造成恐惧","XGE","1环","动作","专注，至多 1 分钟","死灵","60 尺","声音","契术师、法师","你唤醒了射程内你能看见的一个生物对死亡的意识。构装生物或不死生物免疫这个效果。目标必须成功通过一次感知豁免，否则将在法术结束前恐惧于你。被恐惧的目标可以在它的每个回合结束时重复进行这个豁免检定，若成功将结束这个法术对它自己的效果。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外选择一名生物作为目标。当你选择这些生物时，它们彼此之间的距离必须在30尺内。"
"造成伤势","PHB","1环","动作","即效","死灵","触碰","声音、姿势","牧师","对你可以触及的一个生物进行一次近战法术攻击。若命中，目标受到3d10黯蚀伤害。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d10。"
"造风术","PHB","2环","动作","专注，至多 1 分钟","塑能","自身 (60尺 直线)","声音、姿势、材料 (一粒豆科植物的种子)","德鲁伊、术士、法师","在法术持续期间，一阵60尺长、10尺宽的直线强风从你向着你所选择的任一个方向吹出。每个在这个直线内开始他们回合的生物都必须成功通过一次力量豁免，否则将沿着风向被推离你15尺距离。任何在直线内的生物在移向你的时候，都必须花费2尺的移动力才能够移动1尺的距离。这阵强风会吹散气体和水气，且它会熄灭蜡烛、火炬、和区域内其他类似的未受保护的火焰。它会使受保护的火焰，例如提灯，剧烈地摇晃，并有着50%的几率将它们熄灭。在法术结束前，你可以在你的每个回合以一个附赠动作改变从你身上吹出的风向。",""
"造水/枯水术","PHB","1环","动作","即效","变化","30 尺","声音、姿势、材料 (若要造水则一滴水，若要枯水则几粒沙子)","牧师、德鲁伊","你可以创造水或使水枯竭。 造水. 你在射程内一处敞开容器中创造出最多10加仑干净的水。或者，水将在射程内一处30尺边长立方体空间内如雨般降下，熄灭该区域中暴露的火焰。 枯水. 你使射程内一处敞开容器中最多10加仑的水枯竭消失。或者，你消灭射程内一处30尺边长立方体空间内的雾水。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再多创造或消灭10加仑的水，或者增加立方体空间的边长5尺。"
"造物术","PHB","5环","1 分钟","特殊","幻术","30 尺","声音、姿势、材料 (一小片与你打算创造物体相同种类的材料)","奇械师、奇械师 (Revisited)、术士、法师","你从堕影冥界中抽出一缕阴影以在射程内创造出一个植物材料制成的非活物物体：纺织品、绳索、木头、或其他类似的东西。你也可以使用此法术以创造出矿物物体，像是石头、水晶、或金属。被创造出的物体的大小不能超过一个5尺边长立方体，且该物体的外型和材料必须要是你过去曾经看过的。法术的持续时间取决于物体的材料。若该物体是以复数材料所构成，则使用最短的持续时间。造物表格材料持续时间植物材料1 日石头或水晶12 小时贵金属1 小时宝石10 分钟精金或秘银1 分钟使用此法术所创造出的材料以作为其他法术的材料构材，会使该法术失败。","升环施法效应. At Higher Levels 当你使用6环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你所能创造物体的立方体边长便会再增加5尺。"
"噪音暗语","PHB","1环","动作","即效","惑控","60 尺","声音","吟游诗人","你向射程内你所选且能听见你的一个生物低语一段只有它听得到的不协调旋律，以可怕的痛苦折磨它。目标必须进行一次感知豁免。若豁免失败，则它受到3d6心灵伤害，且可以的话必须立刻使用它的反应，向着远离你的方向移动等同它移动速度的距离。该生物不会移动到有着明显危险的地方，像是火焰或坑洞。若豁免成功，则目标只受到一半的伤害，且不需要远离。一个耳聋的生物自动成功于该豁免。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d6。"
"召唤次级恶魔","XGE","3环","动作","专注，至多 1 小时","咒法","60 尺","声音、姿势、材料 (一小瓶来自在最近24小时内被杀死的类人生物的鲜血)","契术师、法师","你说出污浊的词语，从无底深渊的混沌中将恶魔召唤而出。掷骰使用以下表格以决定会出现什么。d6被召唤的恶魔1-2二只挑战等级1或以下的恶魔3-4四只挑战等级1/2或以下的恶魔5-6八只挑战等级1/4或以下的恶魔DM将选择恶魔的种类，像是原魔或怯魔，然后你选择让它们出现在射程内你所能看见的未被占据空间。一个被召唤恶魔会在它生命值归零或此法术结束时消失。这些恶魔会对所有的生物抱持敌意，包括你。这些恶魔在骰先攻时作为一组掷骰，但有着各自的回合。这些恶魔会尽其所能的追逐并攻击任何距离它们最近的非恶魔生物。作为施放此法术的一部份，你可以使用被用于材料构材的鲜血在地面上绘制一个圆环。这个圆环的大小足够环绕你所在的空间。在此法术持续期间，被召唤的恶魔将无法跨越或伤害这个圆环，且它们将无法以任何在内部的人作为目标。以这个方式使用材料构材会使它在此法术结束时被消耗。","升环施法效应. At Higher Levels 当你使用6环或7环的法术位施放此法术时，你召唤出两倍数量的恶魔。当你使用8环或9环的法术位施放此法术时，你召唤出三倍数量的恶魔。"
"召唤次级元素生物","PHB","4环","1 分钟","专注，至多 1 小时","咒法","90 尺","声音、姿势","德鲁伊、法师","你召唤出元素生物并使其出现在射程内未被占据的可见空间。选择以下其中一个选项以决定出现什么：一个挑战等级2或以下的元素生物二个挑战等级1或以下的元素生物四个挑战等级1/2或以下的元素生物八个挑战等级1/4或以下的元素生物.一个被此法术召唤的元素生物会在它生命值归零或此法术结束时消失。被召唤的生物对你和你的同伴友善。这些召唤生物在骰先攻时作为一组掷骰，但有着各自的回合。它们服从任何你交代他们的口头指令（你不需要花费动作）。若你不对它们交代任何指令，则它们将在面对敌对生物时自我防卫，除此之外不采取其他动作。这些生物的数据数据由DM掌控。","升环施法效应. At Higher Levels 当你使用特定更高环阶的法术位施放此法术时，你从上述召唤选项中选择一项，并让更多生物出现：使用6环法术位时出现两倍、8环法术位时出现三倍。"
"召唤动物","PHB","3环","动作","专注，至多 1 小时","咒法","60 尺","声音、姿势","德鲁伊、游侠","你召唤出呈现野兽外型的精类精魂，并使其出现在射程内未被占据的可见空间。选择以下其中一个选项以决定出现什么：一只挑战等级2或以下的野兽二只挑战等级1或以下的野兽四只挑战等级1/2或以下的野兽八只挑战等级1/4或以下的野兽每只野兽同时也被视作精类生物，且它会在它生命值归零或此法术结束时消失。被召唤的生物对你和你的同伴友善。这些召唤生物在骰先攻时作为一组掷骰，但有着各自的回合。它们服从任何你交代他们的口头指令（你不需要花费动作）。若你不对它们交代任何指令，则它们将在面对敌对生物时自我防卫，除此之外不采取其他动作。这些生物的数据数据由DM掌控。","升环施法效应. At Higher Levels 当你使用特定更高环阶的法术位施放此法术时，你从上述召唤选项中选择一项，并让更多生物出现：使用5环法术位时出现两倍、7环法术位时出现三倍、使用9环法术位时出现四倍。"
"召唤高等恶魔","XGE","4环","动作","专注，至多 1 小时","咒法","60 尺","声音、姿势、材料 (一小瓶来自在最近24小时内被杀死的类人生物的鲜血)","契术师、法师","你说出污浊的词语，从无底深渊的混沌中将一只恶魔召唤而出。你选择一个恶魔的种类，且它必须是一种挑战等级5或以下的恶魔，像是影魔或巴古拉魔。该恶魔会出现在射程内你所能看见的一处未被占据空间，且该恶魔会在它生命值归零或此法术结束时消失。为该恶魔骰先攻，且它拥有自己的回合。当你召唤它时以及之后每个你的回合，你可以交代它一个口头指令（你不需要花费动作），告诉它在它的下个回合该做什么。若你没有交代任何指令，则它将花费它的回合攻击任何处于它触及范围内，且曾攻击过它的生物。在该恶魔的每个回合结束时，它将进行一次魅力豁免。若你说出它的真名，则该恶魔将在此豁免检定中具有劣势。若豁免失败，该恶魔将继续服从于你。若豁免成功，则你在法术剩余的持续时间内失去对该恶魔的控制，且该恶魔会花费它的回合尽其所能的追逐并攻击距离它们最近的非恶魔生物。若你在此法术到达它的完整持续时间之前中断对此法术的专注，一个失去控制的恶魔若仍拥有生命值，则它不会在1d6轮内消失。作为施放此法术的一部份，你可以使用被用于材料构材的鲜血在地面上绘制一个圆环。这个圆环的大小足够环绕你所在的空间。在此法术持续期间，被召唤的恶魔将无法跨越或伤害这个圆环，且它将无法以任何在内部的人作为目标。以这个方式使用材料构材会使它在此法术结束时被消耗。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你所能召唤生物的挑战等级便会再增加1。"
"召唤箭幕","PHB","3环","动作","即效","咒法","自身 (60尺 锥形)","声音、姿势、材料 (一发弹药或一把投掷武器)","游侠","你向空中投掷一把非魔法武器或射出一发非魔法弹药以创造出无数同样的武器，以锥形向着前方散射并接着消失无踪。每个在60尺锥形范围内的生物必须进行一次敏捷豁免。一个豁免失败的目标将受到3d8伤害，豁免成功则只受到一半的伤害。伤害类型与作为构材的武器或弹药相同。",""
"召唤箭雨","PHB","5环","动作","即效","咒法","150 尺","声音、姿势、材料 (一发弹药或一把投掷武器)","游侠","你向空中投掷一把非魔法武器或从一把远程武器射出一发非魔法弹药，并选择射程内的一点。数百个弹药或武器的复制品将从上空齐射而下并接着消失无踪。每个处于以该点为中心40尺半径，20尺高的圆柱范围内的生物都必须进行一次敏捷豁免。一个豁免失败的目标将受到8d8伤害，豁免成功则只受到一半的伤害。伤害类型与作为构材的武器或弹药相同。",""
"召唤精类生物","PHB","6环","1 分钟","专注，至多 1 小时","咒法","90 尺","声音、姿势","德鲁伊、契术师","你召唤出一个挑战等级6或以下的精类生物或一个呈现挑战等级6或以下的野兽型态的精类精魂。它将出现在射程内一处你所能看见的未被占据空间。该精类生物会在它生命值归零或此法术结束时消失。该精类生物在法术持续期间对你和你的同伴友善。为该精类生物骰先攻，且它拥有自己的回合。它会服从任何你交代它的口头指令（你不需要花费动作），只要这不会因此违反它的阵营。若你不对该生物交代任何指令，则它将在面对敌对生物时自我防卫，除此之外不采取其他动作。若你的专注被中断，该精类生物并不会消失。取而代之，你将失去对该精类生物的控制，它将会对你和你的同伴具有敌意，且可能会展开攻击。一个失去控制的精类生物无法被你解消，且它会在你召唤它之后1小时后消失。这个精类生物的数据数据由DM掌控。","升环施法效应. At Higher Levels 当你使用7环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你所能召唤生物的挑战等级便会再增加1。"
"召唤林地之精","PHB","4环","动作","专注，至多 1 小时","咒法","60 尺","声音、姿势、材料 (每召唤一个生物需要一颗冬青浆果)","德鲁伊、游侠","你召唤出精类生物，并使其出现在射程内未被占据的可见空间。选择以下其中一个选项以决定出现什么：一个挑战等级2或以下的精类生物二个挑战等级1或以下的精类生物四个挑战等级1/2或以下的精类生物八个挑战等级1/4或以下的精类生物一个被召唤的生物会在它生命值归零或此法术结束时消失。被召唤的生物对你和你的同伴友善。这些召唤生物在骰先攻时作为一组掷骰，但有着各自的回合。它们服从任何你交代他们的口头指令（你不需要花费动作）。若你不对它们交代任何指令，则它们将在面对敌对生物时自我防卫，除此之外不采取其他动作。这些生物的数据数据由DM掌控。","升环施法效应. At Higher Levels 当你使用特定更高环阶的法术位施放此法术时，你从上述召唤选项中选择一项，并让更多生物出现：使用6环法术位时出现两倍、8环法术位时出现三倍。"
"召唤天界生物","PHB","7环","1 分钟","专注，至多 1 小时","咒法","90 尺","声音、姿势","牧师","你召唤出一个挑战等级4或以下的天界生物，且它将出现在射程内一处你所能看见的未被占据空间。该天界生物会在它生命值归零或此法术结束时消失。该天界生物在法术持续期间对你和你的同伴友善。为该天界生物骰先攻，且它拥有自己的回合。它会服从任何你交代它的口头指令（你不需要花费动作），只要这不会因此违反它的阵营。若你不对该生物交代任何指令，则它将在面对敌对生物时自我防卫，除此之外不采取其他动作。这个天界生物的数据数据由DM掌控。","升环施法效应. At Higher Levels 当你使用9环法术位施放此法术时，你可以改为召唤一个挑战等级5或以下的天界生物."
"召唤元素生物","PHB","5环","1 分钟","专注，至多 1 小时","咒法","90 尺","声音、姿势、材料 (点燃的薰香对应气元素、软质黏土对应土元素、硫磺和磷对应火元素、水和沙对应水元素)","德鲁伊、法师","你呼唤出一个元素仆役。选择射程内一处在10尺边长立方体内充满气、土、火、或水的区域。一个对应你所选区域的挑战等级5或以下的元素生物将会出现在距离该处10尺内的一处未被占据空间。举例来说，一个火元素会从一团篝火中浮现，而一个土元素会从大地中升起。该元素生物会在它生命值归零或此法术结束时消失。该元素生物对你和你的同伴友善。为该元素生物骰先攻，且它拥有自己的回合。它会服从任何你交代它的口头指令（你不需要花费动作）。若你不对该生物交代任何指令，则它将在面对敌对生物时自我防卫，除此之外不采取其他动作。若你的专注被中断，该元素生物并不会消失。取而代之，你将失去对该元素生物的控制，它将会对你和你的同伴具有敌意，且可能会展开攻击。一个失去控制的元素生物无法被你解消，且它会在你召唤它之后1小时后消失。这个元素生物的数据数据由DM掌控。","升环施法效应. At Higher Levels 当你使用6环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你所能召唤生物的挑战等级便会再增加1。"
"召雷术","PHB","3环","动作","专注，至多 10 分钟","咒法","120 尺","声音、姿势","德鲁伊","一团暴风雷云以10尺高、60尺半径圆柱体的形状出现，并以你射程内正上方你所能看见的一点为中心。若你无法看见空中一处可以让暴风雷云成形的位置，则此法术失败（例如当你处于无法容纳雷云成形的房间内）。当你施放此法术时，选择位于雷云之下你所能看见的一点。一道闪电将从雷云疾驰击在该点上。每个距离该点5尺内的生物都必须进行一次敏捷豁免。一个豁免失败的目标将受到3d10闪电伤害，豁免成功则只受到一半的伤害。直到此法术结束前，在每个你的回合，你都可以使用你的动作再次通过这个方式唤来闪电，击向与之前相同或其他的位置。若你在处于暴风雨天候的室外施放此法术，则此法术将让你控制既存的暴风雷云，而非创造一个新的。在这样的情况下，此法术的伤害将增加1d10。","升环施法效应. At Higher Levels 当你使用4环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d10。"
"侦测毒素或疾病","PHB","1环","动作","专注，至多 10 分钟","预言","自身","声音、姿势、材料 (一片紫杉叶)","牧师、德鲁伊、圣武士、游侠","在法术持续期间，你可以察觉距离你30尺范围内任何毒素、有毒生物、疾病的存在和位置。你同时能够辨识出各毒素、有毒生物、或疾病的种类。此法术可以穿透大部分的障碍物，但会被1尺厚的石头、1寸厚的寻常金属、一层薄薄的铅、或3尺的木头或泥土给阻挡。",""
"侦测魔法","PHB","1环","动作","专注，至多 10 分钟","预言","自身","声音、姿势","奇械师、奇械师 (Revisited)、吟游诗人、牧师、德鲁伊、圣武士、游侠、术士、法师","在法术持续期间，你能察觉距离你30尺范围内所有魔法的存在。如果你以这个方式侦查魔法，你可以使用你的动作去查看该区域内，任何环绕在含有魔法的可见生物或物体周遭的淡淡魔法灵气，且你将得知该魔法的学派。此法术可以穿透大部分的障碍物，但会被1尺厚的石头、1寸厚的寻常金属、一层薄薄的铅、或3尺的木头或泥土给阻挡。",""
"侦测善恶","PHB","1环","动作","专注，至多 10 分钟","预言","自身","声音、姿势","牧师、圣武士","在法术持续期间，你得知距离你30尺范围内是否有异怪、天界生物、元素、精类、邪魔或不死生物存在，你也能得知该生物的位置。同样的，你得知距离你30尺范围内是否有圣洁或被亵渎的地方或物体存在。此法术可以穿透大部分的障碍物，但会被1尺厚的石头、1寸厚的寻常金属、一层薄薄的铅、或3尺的木头或泥土给阻挡。",""
"侦测思想","PHB","2环","动作","专注，至多 1 分钟","预言","自身","声音、姿势、材料 (一块铜片)","吟游诗人、术士、法师","在法术持续期间，你可以阅读某些生物的思想。当你施放此法术时、以及在法术结束前以一个动作，你可以集中心神于任何一个距离你30尺内且你能看见的生物。如果你所选择的生物的智力为3或更低，或者该生物不懂任何一种语言，则该生物不受影响。你一开始会得知该生物的表层想法—它脑中当下最主要的思想。以一个动作，你可以转移你的注意力到另一个生物的思想上，或者尝试更加深入同一个生物的想法。如果你选择深入，则目标必须进行一次感知豁免。若它失败，你将理解它的推论理据（若有）、它的情绪状态、以及其他在它脑海中挥之不去的事物（像是它担忧、爱、或恨着的东西）。若它成功，则此法术结束。无论成功与否，目标都会知道你正尝试深入它的思想，且除非你将你的注意力转移到另一个生物的思想，否则该生物将可以在它的回合使用它的动作进行一次智力检定以对抗你的智力检定；若它成功，则此法术结束。直接针对目标生物的口头提问可以自然地影响它的思想方向，因此这个法术在审讯中特别有用。你也可以使用此法术以侦测你无法看见的，拥有思维生物的存在。当你施放此法术或在持续期间以一个动作，你可以搜索距离你30尺内的思想。此法术可以穿透障碍物，但会被2尺厚的石头、2寸厚的铅以外的任何金属、或一层薄薄的铅给阻挡。你无法侦测一个智力为3或更低，或者不懂任何一种语言的生物。一旦你以这个方式侦测到一个生物的存在，你将可以在法术持续期间以上述方式阅读它的思想。你甚至不需要看见它，但它仍必须处于范围内。",""
"真知术","PHB","6环","动作","1 小时","预言","触碰","声音、姿势、材料 (一个价值25金币，由蘑菇粉末、番红花、和油脂制成的眼药膏，在施法时消耗)","吟游诗人、牧师、术士、契术师、法师","此法术将会赋予你所触碰的自愿生物看见事物本质的能力。在法术持续期间，该生物获得真实视觉，能察觉到被魔法隐藏的暗门、且可以看见乙太位面内的事物，以上这些能力的范围皆为120尺。",""
"拯救濒死","PHB","戏法","动作","即效","死灵","触碰","声音、姿势","奇械师、奇械师 (Revisited)、牧师","你触碰一个生命值为0的活着的生物。该生物的伤势变得稳定。此法术对于不死生物和构装生物没有效果。",""
"支配怪物","PHB","8环","动作","专注，至多 1 小时","惑控","60 尺","声音、姿势","吟游诗人、术士、契术师、法师","你试图迷惑一个射程内你所能看见的生物。它必须成功通过一次感知豁免，否则在法术持续期间被你魅惑。若你或对你友善的生物正在与它战斗，则它在该豁免检定中具有优势。当该生物被魅惑，只要你们两个还在同一个存在位面，则你与它之间将创建起一道心灵链接。你可以在你保有意识的时候使用这道心灵链接以对该生物下达命令（不需要花费动作），而它将尽它的全力服从。你可以指定一个简单且笼统的行动，像是「攻击那个生物」、「跑来这里」、或「拿回那个物体」。若该生物完成了命令且没有收到来自你进一步的指示，则它将尽它的全力防卫并保护它自己。你可以使用你的动作以完全而精准地控制目标。直到你的下个回合结束前，该生物只会采取你所选择的动作，且不会作出任何你不允许的事。在这段期间，你也可以让该生物采取一个反应，但这也将需要你使用你自己的反应。每次目标受到伤害时，它必须再进行一次新的感知豁免以对抗此法术。若豁免成功，则此法术结束。","升环施法效应. At Higher Levels 当你使用9环法术位施放此法术时，持续时间变为专注,至多8小时。"
"支配人类","PHB","5环","动作","专注，至多 1 分钟","惑控","60 尺","声音、姿势","吟游诗人、术士、法师","你试图迷惑一个射程内你所能看见的类人生物。它必须成功通过一次感知豁免，否则在法术持续期间被你魅惑。若你或对你友善的生物正在与它战斗，则它在该豁免检定中具有优势。当目标被魅惑，只要你们两个还在同一个存在位面，则你与它之间将创建起一道心灵链接。你可以在你保有意识的时候使用这道心灵链接以对该生物下达命令（不需要花费动作），而它将尽它的全力服从。你可以指定一个简单且笼统的行动，像是「攻击那个生物」、「跑来这里」、或「拿回那个物体」。若该生物完成了命令且没有收到来自你进一步的指示，则它将尽它的全力防卫并保护它自己。你可以使用你的动作以完全而精准地控制目标。直到你的下个回合结束前，该生物只会采取你所选择的动作，且不会作出任何你不允许的事。在这段期间，你也可以让该生物采取一个反应，但这也将需要你使用你自己的反应。每次目标受到伤害时，它必须再进行一次新的感知豁免以对抗此法术。若豁免成功，则此法术结束。","升环施法效应. At Higher Levels 当你使用6环法术位施放此法术时，持续时间变为专注,至多10分钟。当你使用7环法术位施放此法术时，持续时间变为专注,至多1小时。当你使用8环或更高的法术位施放此法术时，持续时间变为专注,至多8小时。"
"支配野兽","PHB","4环","动作","专注，至多 1 分钟","惑控","60 尺","声音、姿势","德鲁伊、术士","你试图迷惑一个射程内你所能看见的野兽。它必须成功通过一次感知豁免，否则在法术持续期间被你魅惑。若你或对你友善的生物正在与它战斗，则它在该豁免检定中具有优势。当该野兽被魅惑，只要你们两个还在同一个存在位面，则你与它之间将创建起一道心灵链接。你可以在你保有意识的时候使用这道心灵链接以对该生物下达命令（不需要花费动作），而它将尽它的全力服从。你可以指定一个简单且笼统的行动，像是「攻击那个生物」、「跑来这里」、或「拿回那个物体」。若该生物完成了命令且没有收到来自你进一步的指示，则它将尽它的全力防卫并保护它自己。你可以使用你的动作以完全而精准地控制目标。直到你的下个回合结束前，该生物只会采取你所选择的动作，且不会作出任何你不允许的事。在这段期间，你也可以让该生物采取一个反应，但这也将需要你使用你自己的反应。每次目标受到伤害时，它必须再进行一次新的感知豁免以对抗此法术。若豁免成功，则此法术结束。","升环施法效应. At Higher Levels 当你使用5环法术位施放此法术时，持续时间变为专注,至多10分钟。当你使用6环法术位施放此法术时，持续时间变为专注,至多1小时。当你使用7环或更高的法术位施放此法术时，持续时间变为专注,至多8小时。"
"植物遁走术","PHB","6环","动作","1 轮","咒法","10 尺","声音、姿势","德鲁伊","此法术将在一个射程内，体型为大型或更大的非活化植物与另一个处于相同存在位面，位于任意距离外的植物之间创造一道魔法链接。你必须曾经见过或碰触过作为目的地的植物至少一次。在法术持续期间，任何生物都可以走进目标植物，并使用5尺移动速度从目的地植物走出。",""
"植物交谈术","PHB","3环","动作","10 分钟","变化","自身 (30尺 半径)","声音、姿势","吟游诗人、德鲁伊、游侠","你赋予距离你30尺内的植物有限的知觉和活力，给予它们与你沟通并遵从你简单命令的能力。你可以询问植物关于在此法术范围的过去几天内所发生的事件，借此知晓关于曾经过这里的生物、天气、和其它事项的情报。你也可以将植物生长而导致的困难地形（像是灌木丛和矮树丛）在持续期间转变成普通地形。或你可以使有植物存在的普通地形在持续期间转变成困难地形，例如让藤蔓和树枝阻挠追兵。根据DM的判断，植物也可能可以运行其它你所指示的任务。此法术并不能让植物拔根而起并四处移动，但它们可以自由的移动它们的枝枒、蔓须、和茎杆。如果一个植物生物在该区域内，你可以如同你和它之间有着共通语言一般与之交谈，但你不会因此获得影响它的魔法能力。此法术可以让纠缠术创造出的植物释放一个被束缚的生物。",""
"植物滋长","PHB","3环","动作","即效","变化","150 尺","声音、姿势","吟游诗人、德鲁伊、游侠","此法术将把活力引导至一个特定区域内的植物之中。此法术有两种可能的用法，提供即效或长期的好处。若你以一个动作施放此法术，则选择射程内一点。以该点为中心100尺半径范围内的所有普通植物将变得的茂密并生长过盛。一个移经该区域的生物每移动1尺距离都必须消耗4尺的移动速度。你可以从此法术区域内排除一个或更多任意大小的区域不受此法术影响。若你以超过8小时的时间施放此法术，则你使这片土地变得肥沃。以射程内一点为中心半里半径范围内的所有植物都会变得丰饶持续整整1年。这些植物在收获时将产出原本两倍数量的食物。",""
"指使术","PHB","5环","1 分钟","30 天","惑控","60 尺","声音","吟游诗人、牧师、德鲁伊、圣武士、法师","你对一个射程内你所能看见的生物下达一个魔法命令，依照你的决定强迫它实行某种服务、或是抑制某种动作或行动。若该生物可以理解你，则它必须成功通过一次感知豁免，否则在法术持续期间被你魅惑，每当它以直接违背你指令的方式行动时，它将受到5d10心灵伤害，但一天不会超过一次。无法理解你的生物不会受到此法术的影响。你可以下达任何你选择的命令，除了无疑会导致死亡的指令。一旦你下达了自杀命令，此法术结束。你可以借由使用一个动作去解消它以提早结束此法术。一个移除诅咒、高等复原术或祈愿术也可以结束此法术。","升环施法效应. At Higher Levels 当你使用7环或8环法术位施放此法术时，此法术的持续时间为1年。当你使用9环法术位施放此法术时，此法术将持续直到它被上面提及的法术给结束。"
"治疗伤势","PHB","1环","动作","即效","塑能","触碰","声音、姿势","奇械师、奇械师、奇械师 (Revisited)、吟游诗人、牧师、德鲁伊、圣武士、游侠","你碰触的一个生物回复等同于1d8 + 你的施法属性调整值的生命值。此法术对不死生物或构装体没有任何效果。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，治疗量便会再增加1d8。"
